https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SFUND,Volume USDT
1659326400,2022-08-01 04:00:00,SFUND/USDT,2.3485,2.36,2.3461,2.3542,26587.18118599,62516.985536613715
1659322800,2022-08-01 03:00:00,SFUND/USDT,2.3562,2.358,2.2849,2.3475,48168.71898486,113017.538011733661
1659319200,2022-08-01 02:00:00,SFUND/USDT,2.3711,2.3775,2.34,2.3591,17053.58480367,40340.130742082441
1659315600,2022-08-01 01:00:00,SFUND/USDT,2.3611,2.3747,2.3565,2.3711,11084.97981036,26269.258612635211
1659312000,2022-08-01 00:00:00,SFUND/USDT,2.3576,2.3661,2.355,2.3613,6667.12874327,15723.636217244333
1659308400,2022-07-31 23:00:00,SFUND/USDT,2.3385,2.3656,2.3246,2.3578,19908.40046734,46802.696527532773
1659304800,2022-07-31 22:00:00,SFUND/USDT,2.4076,2.4076,2.3167,2.3385,61267.14245441,145119.198263265165
1659301200,2022-07-31 21:00:00,SFUND/USDT,2.4445,2.445,2.4131,2.4131,56142.30173886,136876.627357455393
1659297600,2022-07-31 20:00:00,SFUND/USDT,2.4526,2.4566,2.4315,2.4448,38054.52217256,92997.47354717329
1659294000,2022-07-31 19:00:00,SFUND/USDT,2.4318,2.4652,2.4318,2.4626,23343.51682643,57088.226472974845
1659290400,2022-07-31 18:00:00,SFUND/USDT,2.4568,2.486,2.3873,2.4307,20102.08812028,49104.231489005294
1659286800,2022-07-31 17:00:00,SFUND/USDT,2.4672,2.475,2.45,2.45,40968.65573106,101012.690251707414
1659283200,2022-07-31 16:00:00,SFUND/USDT,2.4585,2.475,2.4585,2.475,33278.05339974,82051.292891143516
1659279600,2022-07-31 15:00:00,SFUND/USDT,2.4775,2.4865,2.4373,2.4667,15708.63247018,38699.079844070522
1659276000,2022-07-31 14:00:00,SFUND/USDT,2.491,2.4929,2.4667,2.4866,15330.46853585,38086.694828785368
1659272400,2022-07-31 13:00:00,SFUND/USDT,2.4713,2.5,2.454,2.4873,51036.26324449,126018.114144946996
1659268800,2022-07-31 12:00:00,SFUND/USDT,2.4573,2.4845,2.4524,2.4667,33457.74052133,82440.676925500166
1659265200,2022-07-31 11:00:00,SFUND/USDT,2.3766,2.5199,2.3766,2.4586,22932.63407704,56735.708437716439
1659261600,2022-07-31 10:00:00,SFUND/USDT,2.33,2.4382,2.3234,2.3639,18786.90236397,44530.966359601995
1659258000,2022-07-31 09:00:00,SFUND/USDT,2.3063,2.33,2.3063,2.3295,27593.59523648,63995.257513891536
1659254400,2022-07-31 08:00:00,SFUND/USDT,2.2804,2.3195,2.2592,2.3159,29227.72585528,66684.364291779946
1659250800,2022-07-31 07:00:00,SFUND/USDT,2.3165,2.33,2.2745,2.2935,23149.20050237,53338.763190290584
1659247200,2022-07-31 06:00:00,SFUND/USDT,2.2741,2.3467,2.2718,2.2924,48435.02382967,111372.76637006563
1659243600,2022-07-31 05:00:00,SFUND/USDT,2.2996,2.3237,2.2412,2.2907,74399.56441855,169460.385226810748
1659240000,2022-07-31 04:00:00,SFUND/USDT,2.2735,2.3301,2.2649,2.2892,33492.59184908,76442.217477927116
1659236400,2022-07-31 03:00:00,SFUND/USDT,2.2254,2.3256,2.2242,2.2852,33863.12327721,75958.186834522707
1659232800,2022-07-31 02:00:00,SFUND/USDT,2.2267,2.2402,2.22,2.2298,23795.99849239,53007.405906824023
1659229200,2022-07-31 01:00:00,SFUND/USDT,2.1967,2.224,2.1675,2.2066,13791.38225909,30117.227770629819
1659225600,2022-07-31 00:00:00,SFUND/USDT,2.1586,2.1967,2.1586,2.1967,478.46110657,1043.882602180789
1659222000,2022-07-30 23:00:00,SFUND/USDT,2.1786,2.2005,2.15,2.1597,15415.59086409,33371.78479185304
1659218400,2022-07-30 22:00:00,SFUND/USDT,2.1972,2.2004,2.1506,2.1786,42945.14004398,93654.148473909475
1659214800,2022-07-30 21:00:00,SFUND/USDT,2.1831,2.2053,2.1794,2.1969,52251.8558559,114674.869423191356
1659211200,2022-07-30 20:00:00,SFUND/USDT,2.196,2.1984,2.1794,2.1829,39259.37857913,85896.363384906137
1659207600,2022-07-30 19:00:00,SFUND/USDT,2.2267,2.2579,2.1794,2.1821,23105.57564638,51155.235832410796
1659204000,2022-07-30 18:00:00,SFUND/USDT,2.1922,2.4484,2.1836,2.2301,22293.47124315,50329.395342584535
1659200400,2022-07-30 17:00:00,SFUND/USDT,2.1793,2.1949,2.1755,2.1794,29445.82188892,64402.652641430476
1659196800,2022-07-30 16:00:00,SFUND/USDT,2.1856,2.2,2.1665,2.1799,44523.89715289,97223.894773870911
1659193200,2022-07-30 15:00:00,SFUND/USDT,2.156,2.2,2.1526,2.1885,14617.75713831,31870.907378599798
1659189600,2022-07-30 14:00:00,SFUND/USDT,2.163,2.1728,2.1507,2.1573,11819.29012098,25532.264634489061
1659186000,2022-07-30 13:00:00,SFUND/USDT,2.0747,2.1959,2.0742,2.156,50443.27171774,108024.489451775849
1659182400,2022-07-30 12:00:00,SFUND/USDT,2.045,2.0695,2.0393,2.0695,73213.62824467,150596.647135686336
1659178800,2022-07-30 11:00:00,SFUND/USDT,2.043,2.0521,2.0388,2.0455,29410.33507627,60172.585995692724
1659175200,2022-07-30 10:00:00,SFUND/USDT,2.0896,2.0926,2.0358,2.0509,29057.19883092,59714.89447110774
1659171600,2022-07-30 09:00:00,SFUND/USDT,2.1002,2.125,2.081,2.0945,24314.96010525,51037.146736172616
1659168000,2022-07-30 08:00:00,SFUND/USDT,2.0816,2.1333,2.0713,2.0904,31594.05361104,66016.367195667327
1659164400,2022-07-30 07:00:00,SFUND/USDT,2.0649,2.0939,2.0649,2.0809,12717.5631149,26461.422347206211
1659160800,2022-07-30 06:00:00,SFUND/USDT,2.0445,2.0692,2.0409,2.0638,67213.87205278,137971.043175015117
