https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LINK,Volume ETH
1654012800,2022-05-31 16:00:00,LINK/ETH,0.00373601,0.00373601,0.00373601,0.00373601,0.00000000,0.0
1654009200,2022-05-31 15:00:00,LINK/ETH,0.00373601,0.00373601,0.00373601,0.00373601,0.00000000,0.0
1654005600,2022-05-31 14:00:00,LINK/ETH,0.00373601,0.00373601,0.00373601,0.00373601,0.00000000,0.0
1654002000,2022-05-31 13:00:00,LINK/ETH,0.00373920,0.00373920,0.00373601,0.00373601,2379.88711997,8.89128207907912
1653998400,2022-05-31 12:00:00,LINK/ETH,0.00376992,0.00376992,0.00376992,0.00376992,0.00000000,0.0
1653994800,2022-05-31 11:00:00,LINK/ETH,0.00376877,0.00376992,0.00376877,0.00376992,877.00146400,3.3062253591628803
1653991200,2022-05-31 10:00:00,LINK/ETH,0.00378000,0.00378000,0.00378000,0.00378000,0.00000000,0.0
1653987600,2022-05-31 09:00:00,LINK/ETH,0.00378000,0.00378000,0.00378000,0.00378000,3.20117200,0.01210043016
1653984000,2022-05-31 08:00:00,LINK/ETH,0.00378399,0.00378399,0.00378399,0.00378399,0.00000000,0.0
1653980400,2022-05-31 07:00:00,LINK/ETH,0.00378399,0.00378399,0.00378399,0.00378399,0.00000000,0.0
1653976800,2022-05-31 06:00:00,LINK/ETH,0.00378399,0.00378399,0.00378399,0.00378399,0.00000000,0.0
1653973200,2022-05-31 05:00:00,LINK/ETH,0.00378399,0.00378399,0.00378399,0.00378399,0.00000000,0.0
1653969600,2022-05-31 04:00:00,LINK/ETH,0.00378399,0.00378399,0.00378399,0.00378399,0.00000000,0.0
1653966000,2022-05-31 03:00:00,LINK/ETH,0.00378399,0.00378399,0.00378399,0.00378399,7.00000000,0.02648793
1653962400,2022-05-31 02:00:00,LINK/ETH,0.00376835,0.00376835,0.00376835,0.00376835,0.00000000,0.0
1653958800,2022-05-31 01:00:00,LINK/ETH,0.00376835,0.00376835,0.00376835,0.00376835,0.00000000,0.0
1653955200,2022-05-31 00:00:00,LINK/ETH,0.00376835,0.00376835,0.00376835,0.00376835,0.00000000,0.0
1653951600,2022-05-30 23:00:00,LINK/ETH,0.00376835,0.00376835,0.00376835,0.00376835,0.00000000,0.0
1653948000,2022-05-30 22:00:00,LINK/ETH,0.00376835,0.00376835,0.00376835,0.00376835,0.00000000,0.0
1653944400,2022-05-30 21:00:00,LINK/ETH,0.00376835,0.00376835,0.00376835,0.00376835,0.00000000,0.0
1653940800,2022-05-30 20:00:00,LINK/ETH,0.00376835,0.00376835,0.00376835,0.00376835,16.91302900,0.06373421283215001
1653937200,2022-05-30 19:00:00,LINK/ETH,0.00376771,0.00376771,0.00376771,0.00376771,0.00000000,0.0
1653933600,2022-05-30 18:00:00,LINK/ETH,0.00376771,0.00376771,0.00376771,0.00376771,0.00000000,0.0
1653930000,2022-05-30 17:00:00,LINK/ETH,0.00376771,0.00376771,0.00376771,0.00376771,0.71040300,0.00267659248713
1653926400,2022-05-30 16:00:00,LINK/ETH,0.00377877,0.00377877,0.00377877,0.00377877,0.00000000,0.0
