https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ADA,Volume EUR
1649970000,2022-04-14 21:00:00,ADA/EUR,0.86141,0.86520,0.86141,0.86520,248.64576016,215.128311690432
1649966400,2022-04-14 20:00:00,ADA/EUR,0.85865,0.86215,0.85565,0.86215,2560.67105966,2207.682554085869
1649962800,2022-04-14 19:00:00,ADA/EUR,0.85589,0.85862,0.85589,0.85862,1867.01524221,1603.0566272663502
1649959200,2022-04-14 18:00:00,ADA/EUR,0.86158,0.86158,0.85712,0.86021,5332.64210574,4587.192065778606
1649955600,2022-04-14 17:00:00,ADA/EUR,0.86440,0.86657,0.86058,0.86207,19241.30577810,16587.352472126666
1649952000,2022-04-14 16:00:00,ADA/EUR,0.86354,0.86504,0.85471,0.86057,19283.42440147,16594.736537173038
1649948400,2022-04-14 15:00:00,ADA/EUR,0.87714,0.87714,0.86665,0.86696,8523.86423242,7389.849334938842
1649944800,2022-04-14 14:00:00,ADA/EUR,0.87210,0.88312,0.87210,0.87854,5472.70364096,4807.989056728998
1649941200,2022-04-14 13:00:00,ADA/EUR,0.88899,0.88994,0.87836,0.87836,4084.13885557,3587.3442051784655
1649937600,2022-04-14 12:00:00,ADA/EUR,0.87833,0.88456,0.87833,0.88403,7022.82501785,6208.388000529935
1649934000,2022-04-14 11:00:00,ADA/EUR,0.87562,0.87745,0.87450,0.87551,6102.94275230,5343.187409066173
1649930400,2022-04-14 10:00:00,ADA/EUR,0.88482,0.88482,0.87570,0.87815,4348.31722038,3818.4747670766974
1649926800,2022-04-14 09:00:00,ADA/EUR,0.88904,0.88904,0.88050,0.88437,28667.42122369,25352.607307594724
1649923200,2022-04-14 08:00:00,ADA/EUR,0.89292,0.89342,0.88949,0.88949,4792.37589324,4262.770433278048
1649919600,2022-04-14 07:00:00,ADA/EUR,0.88777,0.89251,0.88697,0.89149,822.14278871,732.9320747070778
1649916000,2022-04-14 06:00:00,ADA/EUR,0.88959,0.89103,0.88862,0.89103,3885.00368470,3461.654833178241
1649912400,2022-04-14 05:00:00,ADA/EUR,0.89028,0.89051,0.88843,0.89051,203.17816604,180.9321886402804
1649908800,2022-04-14 04:00:00,ADA/EUR,0.89581,0.89581,0.89507,0.89507,1691.62350835,1514.1214536188347
1649905200,2022-04-14 03:00:00,ADA/EUR,0.89399,0.89412,0.89224,0.89412,2288.48772564,2046.1826452492369
1649901600,2022-04-14 02:00:00,ADA/EUR,0.89853,0.89853,0.89853,0.89853,110.73919624,99.5024899975272
1649898000,2022-04-14 01:00:00,ADA/EUR,0.89548,0.89944,0.89548,0.89943,5290.64790793,4758.5674478294795
1649894400,2022-04-14 00:00:00,ADA/EUR,0.89653,0.89653,0.89653,0.89653,0.00000000,0.0
1649890800,2022-04-13 23:00:00,ADA/EUR,0.89762,0.89854,0.89469,0.89653,5046.62521533,4524.450904299805
1649887200,2022-04-13 22:00:00,ADA/EUR,0.88820,0.89296,0.88769,0.89296,2814.49775645,2513.233916599592
1649883600,2022-04-13 21:00:00,ADA/EUR,0.88994,0.89100,0.88864,0.89077,1646.83403083,1466.950349642439
1649880000,2022-04-13 20:00:00,ADA/EUR,0.88567,0.89037,0.88567,0.88865,1738.64803720,1545.0495782577802
1649876400,2022-04-13 19:00:00,ADA/EUR,0.88949,0.89200,0.88567,0.88567,5555.36479440,4920.219937456248
1649872800,2022-04-13 18:00:00,ADA/EUR,0.88609,0.89168,0.88515,0.89168,3838.88604708,3423.0579104602944
1649869200,2022-04-13 17:00:00,ADA/EUR,0.88401,0.88714,0.88309,0.88714,700.47030671,621.4152278947095
1649865600,2022-04-13 16:00:00,ADA/EUR,0.89483,0.89572,0.88678,0.88678,17356.92944826,15391.777896128004
1649862000,2022-04-13 15:00:00,ADA/EUR,0.89094,0.90000,0.89094,0.89683,10527.33227390,9441.227403201738
1649858400,2022-04-13 14:00:00,ADA/EUR,0.89426,0.89477,0.88439,0.88487,1085.82645242,960.8152529528853
1649854800,2022-04-13 13:00:00,ADA/EUR,0.86785,0.89109,0.86785,0.89109,3449.02170674,3073.3887526589465
1649851200,2022-04-13 12:00:00,ADA/EUR,0.86817,0.87039,0.86665,0.86737,6378.45604959,5532.481423732877
1649847600,2022-04-13 11:00:00,ADA/EUR,0.87203,0.87243,0.86873,0.86873,3365.68317102,2923.8699411602047
