https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume WXT,Volume USDT
1646784000,2022-03-09 00:00:00,WXT/USDT,0.003415,0.003724,0.003415,0.003562,15634115.98248142,55877.78343795770283
1646697600,2022-03-08 00:00:00,WXT/USDT,0.003472,0.003591,0.003393,0.003417,5403396.69306285,18885.41844803063254
1646611200,2022-03-07 00:00:00,WXT/USDT,0.003379,0.003589,0.003254,0.003472,8838059.13904403,30036.96358547204276
1646524800,2022-03-06 00:00:00,WXT/USDT,0.003419,0.003424,0.003352,0.00338,2315479.7319481,7857.17386001291256
1646438400,2022-03-05 00:00:00,WXT/USDT,0.003336,0.003456,0.003252,0.003431,4518217.62571794,15149.49239629117707
1646352000,2022-03-04 00:00:00,WXT/USDT,0.00352,0.003537,0.003272,0.003336,11249039.6500576,38547.98169521893142
1646265600,2022-03-03 00:00:00,WXT/USDT,0.003672,0.003688,0.003501,0.003539,2293709.70595211,8188.34569633612134
1646179200,2022-03-02 00:00:00,WXT/USDT,0.003877,0.00388,0.003623,0.003684,5374603.74799105,19919.88472802153399
1646092800,2022-03-01 00:00:00,WXT/USDT,0.003752,0.004016,0.003598,0.003871,10814221.81933109,40875.00871282260687
1646006400,2022-02-28 00:00:00,WXT/USDT,0.003561,0.003766,0.003471,0.003764,6336451.28769601,22922.30655669539994
1645920000,2022-02-27 00:00:00,WXT/USDT,0.003606,0.003737,0.003539,0.003564,3679255.80964742,13448.10093942812831
1645833600,2022-02-26 00:00:00,WXT/USDT,0.003691,0.00377,0.003607,0.003622,2728742.68214263,10100.46767195175051
1645747200,2022-02-25 00:00:00,WXT/USDT,0.003696,0.003704,0.003472,0.003676,8768515.92298376,31587.84131899937634
1645660800,2022-02-24 00:00:00,WXT/USDT,0.003796,0.003796,0.0032,0.003696,16987891.30886628,59475.91502009634424
1645574400,2022-02-23 00:00:00,WXT/USDT,0.003839,0.003933,0.003776,0.003796,6144328.95926958,23717.03673270168829
1645488000,2022-02-22 00:00:00,WXT/USDT,0.003822,0.004101,0.003707,0.003839,19561481.3617264,75705.78329974213212
1645401600,2022-02-21 00:00:00,WXT/USDT,0.003763,0.003939,0.003763,0.003823,5378270.35135129,20860.09768866431326
1645315200,2022-02-20 00:00:00,WXT/USDT,0.003848,0.003888,0.003651,0.003764,9071016.43311369,34379.95258457430186
1645228800,2022-02-19 00:00:00,WXT/USDT,0.003884,0.00392,0.00382,0.003871,5137137.54843852,19892.87593907894488
1645142400,2022-02-18 00:00:00,WXT/USDT,0.003848,0.003981,0.003823,0.003904,7833708.00730723,30636.03794816885861
1645056000,2022-02-17 00:00:00,WXT/USDT,0.004207,0.00423,0.003699,0.003868,16585043.58603567,64814.11965954190424
1644969600,2022-02-16 00:00:00,WXT/USDT,0.004246,0.004256,0.004034,0.004206,10571030.86681648,43993.62516353392715
1644883200,2022-02-15 00:00:00,WXT/USDT,0.003903,0.00427,0.003878,0.004246,13168997.76790582,53672.74267813039095
1644796800,2022-02-14 00:00:00,WXT/USDT,0.003819,0.00411,0.00379,0.003884,17301652.65935587,68338.8640746746912
1644710400,2022-02-13 00:00:00,WXT/USDT,0.004293,0.004312,0.003725,0.003838,31435652.74350422,125860.82408600751957
