https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume WAVES
1651449600000,2022-05-02 00:00:00,WAVES/ETH,0.00467352,0.00472381,0.0042,0.00437195,189.8038353332783,43413.99955015
1651363200000,2022-05-01 00:00:00,WAVES/ETH,0.00463963,0.0052,0.0045,0.0046831,196.52827123683167,41965.42274067
1651276800000,2022-04-30 00:00:00,WAVES/ETH,0.00501506,0.005355,0.0045,0.00463618,205.2150721013036,44263.82756953
1651190400000,2022-04-29 00:00:00,WAVES/ETH,0.00525511,0.0055,0.0049,0.00501981,205.54838508225941,40947.44324631
1651104000000,2022-04-28 00:00:00,WAVES/ETH,0.00558694,0.00586,0.00521655,0.00525942,219.26534486064514,41690.02377841
1651017600000,2022-04-27 00:00:00,WAVES/ETH,0.00542092,0.0058,0.0053,0.0056,239.348304826064,42740.76871894
1650931200000,2022-04-26 00:00:00,WAVES/ETH,0.00564732,0.00595,0.0053811,0.00542442,231.5964989135261,42695.16352228
1650844800000,2022-04-25 00:00:00,WAVES/ETH,0.00599666,0.00615,0.00557999,0.00563093,240.48962722766677,42708.68706016
1650758400000,2022-04-24 00:00:00,WAVES/ETH,0.0063789,0.00637919,0.00633057,0.00635776,14.668002443493414,2307.10225669
1650672000000,2022-04-23 00:00:00,WAVES/ETH,0.006464,0.00661908,0.0063,0.00636477,270.6811599551511,42528.03478447
1650585600000,2022-04-22 00:00:00,WAVES/ETH,0.0064296,0.0069,0.0063,0.00646328,279.4881565373881,43242.46459033
1650412800000,2022-04-20 00:00:00,WAVES/ETH,0.00682496,0.00682496,0.00673212,0.0067477,10.501175602,1556.26
1650326400000,2022-04-19 00:00:00,WAVES/ETH,0.00668753,0.00693219,0.0064101,0.00681546,290.60665586158615,42639.33114736
1650240000000,2022-04-18 00:00:00,WAVES/ETH,0.00674275,0.00685994,0.0063,0.00666885,287.4189697037231,43098.73062128
1650153600000,2022-04-17 00:00:00,WAVES/ETH,0.00700783,0.00737,0.00666,0.00672834,285.0136387536394,42360.17186314
1650067200000,2022-04-16 00:00:00,WAVES/ETH,0.0072947,0.00755393,0.00684,0.00702153,298.03030038524855,42445.2078657
1649980800000,2022-04-15 00:00:00,WAVES/ETH,0.00702372,0.00753361,0.00684,0.00729939,230.55201392961632,31585.10696505
1649894400000,2022-04-14 00:00:00,WAVES/ETH,0.00694767,0.00777,0.00691087,0.00702092,168.50529587883636,24000.45804237
1649808000000,2022-04-13 00:00:00,WAVES/ETH,0.007342,0.00762198,0.0067002,0.00696233,170.9930113347852,24559.73953185
1649721600000,2022-04-12 00:00:00,WAVES/ETH,0.00794592,0.0084,0.0072421,0.00730615,174.29264474023094,23855.60722682
1649635200000,2022-04-11 00:00:00,WAVES/ETH,0.00720414,0.00803162,0.00695935,0.00793469,195.335219277429,24617.87659977
1649548800000,2022-04-10 00:00:00,WAVES/ETH,0.00759222,0.0078073,0.00756375,0.00779706,7.463432362290438,957.21109781
1649462400000,2022-04-09 00:00:00,WAVES/ETH,0.00825321,0.00833898,0.007329,0.00758295,178.3922826461389,23525.44625062
1649376000000,2022-04-08 00:00:00,WAVES/ETH,0.00921658,0.009554,0.00807079,0.00823821,199.6012194530517,24228.71223883
1649289600000,2022-04-07 00:00:00,WAVES/ETH,0.00913505,0.00985948,0.00870937,0.00936847,225.92029747226016,24114.96193853
1649203200000,2022-04-06 00:00:00,WAVES/ETH,0.00894801,0.01059334,0.00843151,0.00901863,220.45263838181916,24444.13823184
1649116800000,2022-04-05 00:00:00,WAVES/ETH,0.00992111,0.0103226,0.00855,0.00887658,195.3049935373347,22002.27942939
