https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume HYVE,Volume USDT
1645920000,2022-02-27 00:00:00,HYVE/USDT,0.122,0.1258,0.1187,0.1192,237081.43647812,28819.98251543256
1645833600,2022-02-26 00:00:00,HYVE/USDT,0.1219,0.1256,0.1207,0.1226,105273.34743265,12961.585957163072
1645747200,2022-02-25 00:00:00,HYVE/USDT,0.1173,0.125,0.1149,0.1219,200425.49646896,23911.478045960365
1645660800,2022-02-24 00:00:00,HYVE/USDT,0.1259,0.1265,0.108,0.118,450469.10766659,53000.869546495641
1645574400,2022-02-23 00:00:00,HYVE/USDT,0.1279,0.1543,0.1242,0.1258,774048.38020885,102777.491000214979
1645488000,2022-02-22 00:00:00,HYVE/USDT,0.1287,0.132,0.1173,0.128,292290.06555985,36011.375991467186
1645401600,2022-02-21 00:00:00,HYVE/USDT,0.134,0.1388,0.1285,0.1302,239192.39765472,32209.312289288296
1645315200,2022-02-20 00:00:00,HYVE/USDT,0.1423,0.1423,0.13,0.1343,471726.46647594,64478.755414454512
1645228800,2022-02-19 00:00:00,HYVE/USDT,0.1406,0.1475,0.1368,0.1422,390823.63768382,55008.477930796874
1645142400,2022-02-18 00:00:00,HYVE/USDT,0.1428,0.1487,0.1397,0.1411,301197.69972654,43070.043453548522
1645056000,2022-02-17 00:00:00,HYVE/USDT,0.1561,0.1584,0.1422,0.1431,326294.76735862,49390.554769807398
1644969600,2022-02-16 00:00:00,HYVE/USDT,0.1602,0.1612,0.1547,0.156,506726.19308112,80192.037937870418
1644883200,2022-02-15 00:00:00,HYVE/USDT,0.1588,0.1621,0.1551,0.1594,722815.32639637,115620.000728891028
1644796800,2022-02-14 00:00:00,HYVE/USDT,0.1526,0.161,0.1446,0.1584,522756.49636283,80000.198990262592
1644710400,2022-02-13 00:00:00,HYVE/USDT,0.1385,0.1612,0.1362,0.1531,1074464.24191465,156212.574316668992
1644624000,2022-02-12 00:00:00,HYVE/USDT,0.1433,0.1433,0.134,0.1375,977248.57974769,136379.058170498437
1644537600,2022-02-11 00:00:00,HYVE/USDT,0.159,0.1592,0.1422,0.1426,994097.41257311,153797.297569887559
1644451200,2022-02-10 00:00:00,HYVE/USDT,0.1656,0.1717,0.1585,0.1589,705419.69535691,115405.206247506331
1644364800,2022-02-09 00:00:00,HYVE/USDT,0.1609,0.1691,0.1551,0.1654,1101715.01281543,175789.060746751378
1644278400,2022-02-08 00:00:00,HYVE/USDT,0.1627,0.1714,0.1551,0.1609,872058.34315356,140352.615216874626
