https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XRP,Volume USDT
1655168400,2022-06-14 01:00:00,XRP/USDT,0.30404,0.3064,0.29351,0.29404,12545611.9087731,3770781.7717328530855
1655164800,2022-06-14 00:00:00,XRP/USDT,0.31178,0.31362,0.30371,0.30398,8368276.70189444,2593229.9569095841942
1655161200,2022-06-13 23:00:00,XRP/USDT,0.30684,0.31349,0.30467,0.31171,5620701.7892159,1732155.9783012136466
1655157600,2022-06-13 22:00:00,XRP/USDT,0.31491,0.31709,0.30662,0.30682,4995340.99536273,1553029.0504488999428
1655154000,2022-06-13 21:00:00,XRP/USDT,0.32038,0.323,0.313,0.31479,2909788.77054804,923311.2869513186205
1655150400,2022-06-13 20:00:00,XRP/USDT,0.31938,0.32935,0.31937,0.32032,4645443.89873124,1510053.6238284473061
1655146800,2022-06-13 19:00:00,XRP/USDT,0.3165,0.32006,0.31433,0.31946,3226891.00658558,1022475.1283449485594
1655143200,2022-06-13 18:00:00,XRP/USDT,0.31718,0.32019,0.31606,0.31649,4564644.54355953,1451883.2978856596892
1655139600,2022-06-13 17:00:00,XRP/USDT,0.31703,0.31776,0.31177,0.31718,5194206.76476387,1635053.019514729241
1655136000,2022-06-13 16:00:00,XRP/USDT,0.31392,0.32357,0.31153,0.31701,8133315.1745251,2591456.3242786198131
1655132400,2022-06-13 15:00:00,XRP/USDT,0.30624,0.31726,0.30521,0.31395,9064481.55553071,2819145.1148327288724
1655128800,2022-06-13 14:00:00,XRP/USDT,0.31379,0.31527,0.301,0.3063,9287268.75905571,2866996.5715697809819
1655125200,2022-06-13 13:00:00,XRP/USDT,0.30903,0.3168,0.30773,0.31432,7218836.73047398,2252089.618155288895
1655121600,2022-06-13 12:00:00,XRP/USDT,0.31016,0.31842,0.30857,0.30914,8113646.59204328,2543965.7135069645301
1655118000,2022-06-13 11:00:00,XRP/USDT,0.31141,0.31285,0.30577,0.31018,6504041.90528208,2004965.3021790653159
1655114400,2022-06-13 10:00:00,XRP/USDT,0.3146,0.31825,0.31091,0.31145,6587352.38112426,2069780.6947138710604
1655110800,2022-06-13 09:00:00,XRP/USDT,0.30614,0.31873,0.3035,0.31457,8933511.4243485,2777181.661483087059
1655107200,2022-06-13 08:00:00,XRP/USDT,0.32011,0.3251,0.305,0.30615,11118891.76681249,3514011.8899621385656
1655103600,2022-06-13 07:00:00,XRP/USDT,0.3238,0.32787,0.31355,0.32004,7402250.61658484,2377346.3720828345005
1655100000,2022-06-13 06:00:00,XRP/USDT,0.32344,0.32558,0.31811,0.32382,8071611.62468963,2599024.6006823567073
1655096400,2022-06-13 05:00:00,XRP/USDT,0.33053,0.3352,0.32285,0.32352,6882979.06026811,2270849.9300826476358
1655092800,2022-06-13 04:00:00,XRP/USDT,0.33126,0.33792,0.32975,0.33056,8285478.88797404,2767541.0362649103285
1655089200,2022-06-13 03:00:00,XRP/USDT,0.33084,0.33357,0.32455,0.33123,10627390.85092563,3500213.184197660594
1655085600,2022-06-13 02:00:00,XRP/USDT,0.33154,0.33664,0.32961,0.33091,6689460.02110058,2223556.7379462043857
1655082000,2022-06-13 01:00:00,XRP/USDT,0.34071,0.34307,0.32751,0.33149,11339675.9403908,3803266.9890555904273
1655078400,2022-06-13 00:00:00,XRP/USDT,0.34312,0.3506,0.34003,0.34052,7519836.07059819,2594155.2056473680776
