https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XAVA,Volume USDT
1646352000,2022-03-04 00:00:00,XAVA/USDT,4.858,5.2844,4.68,4.807,104892.50534542,513729.011482340798
1646265600,2022-03-03 00:00:00,XAVA/USDT,5.1756,5.3896,4.735,4.8574,92247.59572093,458982.587225590784
1646179200,2022-03-02 00:00:00,XAVA/USDT,5.6147,5.7813,5.1,5.1782,75386.08834344,405396.461120139327
1646092800,2022-03-01 00:00:00,XAVA/USDT,5.5818,6.3,5.3,5.6144,105481.10707132,598662.831662844653
1646006400,2022-02-28 00:00:00,XAVA/USDT,5.1416,5.8192,4.922,5.5772,70147.28750938,363524.133795446699
1645920000,2022-02-27 00:00:00,XAVA/USDT,5.6603,5.7057,5.0224,5.1422,63409.68838557,341673.948735575815
1645833600,2022-02-26 00:00:00,XAVA/USDT,5.6723,5.989,5.501,5.6569,55059.25710224,314292.904227349007
1645747200,2022-02-25 00:00:00,XAVA/USDT,5.4699,5.9083,5.1982,5.6721,65579.47452213,357165.872516306319
1645660800,2022-02-24 00:00:00,XAVA/USDT,5.6138,5.8,4.68,5.4767,106960.07594823,550588.075929444263
1645574400,2022-02-23 00:00:00,XAVA/USDT,5.7878,6.2262,5.581,5.6138,67521.21934427,396423.308239036922
1645488000,2022-02-22 00:00:00,XAVA/USDT,5.634,5.8302,5.5,5.7896,64733.91933761,366033.824789156344
1645401600,2022-02-21 00:00:00,XAVA/USDT,6.0924,6.45,5.6,5.6492,85493.56016267,526294.611429030753
1645315200,2022-02-20 00:00:00,XAVA/USDT,6.6466,6.65,5.9,6.0923,78875.06513738,489015.413794831092
1645228800,2022-02-19 00:00:00,XAVA/USDT,6.6393,6.88,6.3794,6.6203,104213.81166127,688394.324475011173
1645142400,2022-02-18 00:00:00,XAVA/USDT,5.9925,7.0468,5.9,6.6507,127882.23508278,805700.204103435257
1645056000,2022-02-17 00:00:00,XAVA/USDT,6.5064,6.6665,5.8489,6.0112,84463.70721633,527476.576700474424
1644969600,2022-02-16 00:00:00,XAVA/USDT,6.728,6.9792,6.2002,6.5086,84317.96215241,552883.460086355319
1644883200,2022-02-15 00:00:00,XAVA/USDT,6.3292,6.8568,6.2427,6.7576,80235.65848706,523387.239296832639
1644796800,2022-02-14 00:00:00,XAVA/USDT,5.9323,6.4,5.62,6.3339,79902.84960944,482231.258365948842
1644710400,2022-02-13 00:00:00,XAVA/USDT,6.14,6.3199,5.8949,5.9372,67847.85155295,415274.364799242731
1644624000,2022-02-12 00:00:00,XAVA/USDT,6.0068,6.4249,5.89,6.1191,65526.4811878,401521.246415969007
1644537600,2022-02-11 00:00:00,XAVA/USDT,6.5514,6.7037,5.89,6.007,76009.21371275,485421.331390198789
1644451200,2022-02-10 00:00:00,XAVA/USDT,6.977,7.344,6.1672,6.5361,125125.38556344,850801.985019920853
1644364800,2022-02-09 00:00:00,XAVA/USDT,6.8322,7.6339,6.7908,6.9725,105638.04383367,762554.761741315336
1644278400,2022-02-08 00:00:00,XAVA/USDT,6.5917,7.8723,6.41,6.8095,104029.89205473,723489.354697094819
1644192000,2022-02-07 00:00:00,XAVA/USDT,6.3813,6.8304,6.2882,6.587,116706.45701715,759721.055829237809
1644105600,2022-02-06 00:00:00,XAVA/USDT,6.8123,6.964,6.1128,6.3813,83018.54116997,542967.814243472551
1644019200,2022-02-05 00:00:00,XAVA/USDT,6.188,7,6.0003,6.8,100403.06126435,643159.042695540194
