https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UNB,Volume USDT
1647129600,2022-03-13 00:00:00,UNB/USDT,0.005362,0.005502,0.005202,0.005304,6160986.41096556,32721.88431637048532
1647043200,2022-03-12 00:00:00,UNB/USDT,0.005515,0.005863,0.005324,0.005398,6048642.27375591,33274.76021226729394
1646956800,2022-03-11 00:00:00,UNB/USDT,0.005854,0.005992,0.00549,0.005515,6109917.12624794,35267.66024080338084
1646870400,2022-03-10 00:00:00,UNB/USDT,0.005632,0.006592,0.005555,0.005854,22772141.53247159,137910.94363063449438
1646784000,2022-03-09 00:00:00,UNB/USDT,0.005373,0.005779,0.005203,0.005633,15569589.79210366,86537.4888891015432
1646697600,2022-03-08 00:00:00,UNB/USDT,0.0054,0.005497,0.0052,0.00533,10152537.21405549,54200.92899480773863
1646611200,2022-03-07 00:00:00,UNB/USDT,0.005588,0.005653,0.005359,0.005369,8729216.62856181,48059.60883042350966
1646524800,2022-03-06 00:00:00,UNB/USDT,0.00635,0.006549,0.005494,0.005588,13376444.77538925,80162.99692471594935
1646438400,2022-03-05 00:00:00,UNB/USDT,0.006337,0.006645,0.0063,0.00635,8460531.57150317,54399.95221156568618
1646352000,2022-03-04 00:00:00,UNB/USDT,0.0072,0.0073,0.0063,0.00634,39620121.2925255,261033.3904324432196
1646265600,2022-03-03 00:00:00,UNB/USDT,0.0077,0.0083,0.007,0.0072,23514737.792552,177024.969775798969
1646179200,2022-03-02 00:00:00,UNB/USDT,0.0084,0.0085,0.0071,0.0077,26522851.36193325,202803.921813640585
1646092800,2022-03-01 00:00:00,UNB/USDT,0.0096,0.0097,0.0082,0.0083,31830026.72691993,272212.833607077733
1646006400,2022-02-28 00:00:00,UNB/USDT,0.0084,0.01,0.0082,0.0096,40526289.80899422,355993.435262869984
1645920000,2022-02-27 00:00:00,UNB/USDT,0.0084,0.0102,0.0079,0.0085,42953844.8306553,383107.261442135149
1645833600,2022-02-26 00:00:00,UNB/USDT,0.0084,0.0088,0.0079,0.0085,8757682.12401331,72678.760840658677
1645747200,2022-02-25 00:00:00,UNB/USDT,0.008,0.0087,0.0077,0.0084,9058307.25516287,75375.535205690911
1645660800,2022-02-24 00:00:00,UNB/USDT,0.0089,0.0091,0.0071,0.008,18260303.23163491,144249.07739081077
1645574400,2022-02-23 00:00:00,UNB/USDT,0.0077,0.01,0.0077,0.0089,35227706.75685654,305303.497504146458
1645488000,2022-02-22 00:00:00,UNB/USDT,0.0075,0.0079,0.0072,0.0078,8863751.65572949,65898.10142448996
1645401600,2022-02-21 00:00:00,UNB/USDT,0.0079,0.0113,0.0075,0.0076,59503538.3329509,517222.295485571856
1645315200,2022-02-20 00:00:00,UNB/USDT,0.0072,0.0116,0.0069,0.008,81665523.72533742,760259.922518360294
1645228800,2022-02-19 00:00:00,UNB/USDT,0.0077,0.0079,0.007,0.0072,10925771.7346978,80793.181133513773
1645142400,2022-02-18 00:00:00,UNB/USDT,0.0085,0.0086,0.0077,0.0077,4309223.04684898,34627.262502828456
1645056000,2022-02-17 00:00:00,UNB/USDT,0.0091,0.0092,0.0084,0.0085,9808527.04823559,86646.613163090608
1644969600,2022-02-16 00:00:00,UNB/USDT,0.0096,0.0104,0.0083,0.0091,58767492.54079286,556971.047756231192
1644883200,2022-02-15 00:00:00,UNB/USDT,0.0072,0.014,0.007,0.0096,114356815.27663192,1228575.811778918705
1644796800,2022-02-14 00:00:00,UNB/USDT,0.0078,0.0078,0.0069,0.0071,6508344.85395344,46916.614849214563
1644710400,2022-02-13 00:00:00,UNB/USDT,0.0085,0.0085,0.0077,0.0077,3056219.87051964,24380.79976374945
1644624000,2022-02-12 00:00:00,UNB/USDT,0.0087,0.0135,0.0078,0.0083,18823538.28976175,186524.383610612441
