https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GRT,Volume USDT
1656428400,2022-06-28 15:00:00,GRT/USDT,0.10555,0.10567,0.10317,0.1032,159352.79647656,16622.320301916781
1656424800,2022-06-28 14:00:00,GRT/USDT,0.10767,0.10801,0.10476,0.1057,521423.96621677,55158.048846229145
1656421200,2022-06-28 13:00:00,GRT/USDT,0.10723,0.10825,0.10533,0.10767,341576.03575109,36484.1709514713113
1656417600,2022-06-28 12:00:00,GRT/USDT,0.10747,0.10868,0.10714,0.10732,126504.54195172,13651.8413967738078
1656414000,2022-06-28 11:00:00,GRT/USDT,0.10696,0.10856,0.1063,0.10742,112259.33140885,12055.5978362801821
1656410400,2022-06-28 10:00:00,GRT/USDT,0.10792,0.10794,0.10642,0.10703,400086.00848597,42663.9038073348628
1656406800,2022-06-28 09:00:00,GRT/USDT,0.10903,0.10958,0.10767,0.10789,299690.86820687,32654.2167494898997
1656403200,2022-06-28 08:00:00,GRT/USDT,0.1079,0.10938,0.10701,0.10903,91766.7981,9962.801013344
1656399600,2022-06-28 07:00:00,GRT/USDT,0.10666,0.10806,0.10666,0.10784,78443.35881342,8441.6856311171965
1656396000,2022-06-28 06:00:00,GRT/USDT,0.10534,0.10719,0.10534,0.1065,15073.06809895,1605.417861079744
1656392400,2022-06-28 05:00:00,GRT/USDT,0.10546,0.10632,0.10476,0.10533,14620.8686138,1546.2652303986208
1656388800,2022-06-28 04:00:00,GRT/USDT,0.1045,0.10557,0.10427,0.10546,177404.95205948,18581.077543891454
1656385200,2022-06-28 03:00:00,GRT/USDT,0.10278,0.10469,0.1026,0.10469,209397.79359551,21714.5904661306211
1656381600,2022-06-28 02:00:00,GRT/USDT,0.10394,0.10475,0.10216,0.10259,203623.10245156,21050.9674485722362
1656378000,2022-06-28 01:00:00,GRT/USDT,0.10785,0.10829,0.10339,0.10374,207924.87147163,21905.8158575686238
1656374400,2022-06-28 00:00:00,GRT/USDT,0.10785,0.10973,0.10658,0.1079,157355.9133558,16946.3510872427651
1656370800,2022-06-27 23:00:00,GRT/USDT,0.10897,0.10976,0.10736,0.10795,294267.63257861,32024.7358078993186
1656367200,2022-06-27 22:00:00,GRT/USDT,0.10848,0.11056,0.10809,0.10896,80858.7529092,8841.0820815726199
1656363600,2022-06-27 21:00:00,GRT/USDT,0.10852,0.1089,0.10796,0.1082,93472.7927305,10130.9378638094093
1656360000,2022-06-27 20:00:00,GRT/USDT,0.1083,0.10917,0.10804,0.10843,192912.14737017,20932.6867511073517
