https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ETH
1550707200,2019-02-21 00:00:00,ETH/USD,150.33,151.2,145.53,147.56,469451.38,3185.65
1550620800,2019-02-20 00:00:00,ETH/USD,146.0,150.84,142.23,150.33,604550.43,4112.62
1550534400,2019-02-19 00:00:00,ETH/USD,146.29,150.0,146.0,146.0,649684.21,4383.88
1550448000,2019-02-18 00:00:00,ETH/USD,137.0,152.02,135.54,146.29,1153829.73,8019.63
1550361600,2019-02-17 00:00:00,ETH/USD,125.68,138.0,125.32,137.0,605851.67,4654.31
1550275200,2019-02-16 00:00:00,ETH/USD,123.93,126.8,123.91,125.68,298368.32,2379.27
1550188800,2019-02-15 00:00:00,ETH/USD,123.4,126.1,123.11,123.93,326575.82,2628.35
1550102400,2019-02-14 00:00:00,ETH/USD,123.96,125.9,122.86,123.4,361158.75,2907.29
1550016000,2019-02-13 00:00:00,ETH/USD,123.93,127.7,122.53,123.96,350048.34,2811.23
1549929600,2019-02-12 00:00:00,ETH/USD,122.48,125.83,120.0,123.93,362575.39,2951.28
1549843200,2019-02-11 00:00:00,ETH/USD,126.52,126.52,121.0,122.48,361087.35,2948.99
1549756800,2019-02-10 00:00:00,ETH/USD,120.5,127.0,115.0,126.52,326994.79,2729.72
1549670400,2019-02-09 00:00:00,ETH/USD,120.55,121.99,118.2,120.5,359897.74,3003.28
1549584000,2019-02-08 00:00:00,ETH/USD,106.77,125.0,106.04,120.55,598388.15,5181.04
1549497600,2019-02-07 00:00:00,ETH/USD,106.4,107.76,105.76,106.77,260620.25,2439.62
1549411200,2019-02-06 00:00:00,ETH/USD,108.9,109.64,103.9,106.4,275048.75,2605.36
1549324800,2019-02-05 00:00:00,ETH/USD,108.95,109.59,107.9,108.9,259826.4,2388.64
1549238400,2019-02-04 00:00:00,ETH/USD,108.9,110.1,108.08,108.95,265636.66,2439.58
1549152000,2019-02-03 00:00:00,ETH/USD,111.5,112.2,107.23,108.9,299696.62,2735.04
1549065600,2019-02-02 00:00:00,ETH/USD,108.88,112.14,107.5,111.5,296789.66,2727.71
1548979200,2019-02-01 00:00:00,ETH/USD,108.22,110.0,105.86,108.88,352476.8,3272.81
1548892800,2019-01-31 00:00:00,ETH/USD,110.64,112.35,107.14,108.22,226046.84,2058.26
1548806400,2019-01-30 00:00:00,ETH/USD,107.72,111.5,106.55,110.64,323000.11,2957.77
1548720000,2019-01-29 00:00:00,ETH/USD,108.88,109.76,105.22,107.72,322252.63,2998.5
1548633600,2019-01-28 00:00:00,ETH/USD,115.0,115.62,104.0,108.88,447515.24,4119.82
1548547200,2019-01-27 00:00:00,ETH/USD,118.59,118.65,114.87,115.0,293129.25,2499.88
1548460800,2019-01-26 00:00:00,ETH/USD,118.34,120.8,117.9,118.59,280063.83,2349.03
1548374400,2019-01-25 00:00:00,ETH/USD,119.82,120.8,117.62,118.34,294877.25,2478.47
1548288000,2019-01-24 00:00:00,ETH/USD,120.11,121.0,118.16,119.82,297461.86,2488.38
1548201600,2019-01-23 00:00:00,ETH/USD,121.97,122.72,119.0,120.11,298234.42,2457.67
