https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UNFI,Volume USDT
1647388800,2022-03-16 00:00:00,UNFI/USDT,4.762,5.185,4.759,5.098,5104.3229592,25297.60360652938
1647302400,2022-03-15 00:00:00,UNFI/USDT,4.684,4.856,4.513,4.806,8253.71110972,39093.62557152908
1647216000,2022-03-14 00:00:00,UNFI/USDT,4.627,4.748,4.482,4.693,5075.26114537,23474.15644413718
1647129600,2022-03-13 00:00:00,UNFI/USDT,4.865,4.97,4.582,4.648,9947.14953691,48214.72456539827
1647043200,2022-03-12 00:00:00,UNFI/USDT,5.2,5.345,4.865,4.868,9438.69114635,47339.54987621845
1646956800,2022-03-11 00:00:00,UNFI/USDT,5.465,5.465,5.071,5.13,12058.91973429,63319.39175348517
1646870400,2022-03-10 00:00:00,UNFI/USDT,6.067,6.275,5.456,5.465,12262.2573385,71356.38875625014
1646784000,2022-03-09 00:00:00,UNFI/USDT,5.381,6.064,5.381,6.031,7539.66355521,43359.15692560876
1646697600,2022-03-08 00:00:00,UNFI/USDT,5.018,5.498,4.974,5.355,8228.59985095,43583.96227130874
1646611200,2022-03-07 00:00:00,UNFI/USDT,5.076,5.222,4.8,5.02,10725.9559371,53421.23518767096
1646524800,2022-03-06 00:00:00,UNFI/USDT,5.208,5.446,5.035,5.102,14965.06897581,79408.96278624817
1646438400,2022-03-05 00:00:00,UNFI/USDT,5.5,5.5,5.135,5.207,9468.16750626,50149.32303362812
1646352000,2022-03-04 00:00:00,UNFI/USDT,6.186,6.694,5.514,5.53,14106.34263643,87540.40857020746
1646265600,2022-03-03 00:00:00,UNFI/USDT,6.22,6.564,5.976,6.15,8601.77531126,54428.43773797793
1646179200,2022-03-02 00:00:00,UNFI/USDT,6.114,6.709,6.051,6.15,33090.46583736,209647.07436701835
1646092800,2022-03-01 00:00:00,UNFI/USDT,5.441,6.252,5.112,6.154,24578.45487412,138602.03879456927
1646006400,2022-02-28 00:00:00,UNFI/USDT,5.33,5.527,4.862,5.419,21758.16697612,113405.64328179258
1645920000,2022-02-27 00:00:00,UNFI/USDT,5.346,5.476,5.08,5.345,13997.27650536,73401.83445934474
1645833600,2022-02-26 00:00:00,UNFI/USDT,4.955,5.47,4.955,5.345,20628.74801122,107588.90998648873
1645747200,2022-02-25 00:00:00,UNFI/USDT,4.406,5,4.368,4.93,5860.03069667,27838.1598854603
1645660800,2022-02-24 00:00:00,UNFI/USDT,4.329,4.547,3.67,4.392,15418.72691972,62235.59063485976
1645574400,2022-02-23 00:00:00,UNFI/USDT,4.547,4.705,4.329,4.333,14759.51420025,66601.05788442692
1645488000,2022-02-22 00:00:00,UNFI/USDT,4.43,4.537,4.164,4.515,14346.7074627,62961.06227945576
1645401600,2022-02-21 00:00:00,UNFI/USDT,4.721,4.994,4.418,4.43,13638.73845889,65349.24668222127
1645315200,2022-02-20 00:00:00,UNFI/USDT,5.458,5.484,4.672,4.762,13676.20124102,67290.58810821286
1645228800,2022-02-19 00:00:00,UNFI/USDT,5.003,5.77,5.003,5.421,30016.8380887,160356.97289322954
1645142400,2022-02-18 00:00:00,UNFI/USDT,5.087,5.324,4.957,5.017,8563.71968879,44046.22179337913
1645056000,2022-02-17 00:00:00,UNFI/USDT,5.536,5.683,5.061,5.104,11132.23346905,59468.38200257178
1644969600,2022-02-16 00:00:00,UNFI/USDT,5.53,5.711,5.318,5.512,16646.18973192,91977.75813933127
1644883200,2022-02-15 00:00:00,UNFI/USDT,5.202,5.65,5.166,5.575,13200.66220791,72348.54613619588
