https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SOLVE,Volume USDT
1645660800,2022-02-24 00:00:00,SOLVE/USDT,0.06735,0.06769,0.059,0.0663,1587800.7096086,100437.8956123881941
1645574400,2022-02-23 00:00:00,SOLVE/USDT,0.06857,0.07055,0.0673,0.06735,277916.94190478,19083.4012372140247
1645488000,2022-02-22 00:00:00,SOLVE/USDT,0.06754,0.06885,0.06349,0.06875,739597.8446673,49243.170849274653
1645401600,2022-02-21 00:00:00,SOLVE/USDT,0.0731,0.07628,0.06753,0.06754,722101.66698264,51828.4400767863366
1645315200,2022-02-20 00:00:00,SOLVE/USDT,0.07816,0.07956,0.0723,0.07371,516834.97009691,39048.7770834545051
1645228800,2022-02-19 00:00:00,SOLVE/USDT,0.07902,0.07976,0.07728,0.07832,122459.35404197,9593.0554401575272
1645142400,2022-02-18 00:00:00,SOLVE/USDT,0.08083,0.08204,0.07849,0.07902,371429.55849137,29748.7864252139615
1645056000,2022-02-17 00:00:00,SOLVE/USDT,0.0853,0.08706,0.08083,0.08083,278444.71840624,23357.3638496926642
1644969600,2022-02-16 00:00:00,SOLVE/USDT,0.08825,0.08825,0.08382,0.0853,235156.14011328,20191.3660029943994
1644883200,2022-02-15 00:00:00,SOLVE/USDT,0.08519,0.089,0.08375,0.0886,547451.48307525,47550.0461135708022
