https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ALBT,Volume USDT
1648425600,2022-03-28 00:00:00,ALBT/USDT,0.22729,0.25554,0.22612,0.23923,2351304.23894395,565694.7887918400169
1648339200,2022-03-27 00:00:00,ALBT/USDT,0.21815,0.23141,0.20992,0.22722,3435853.20089536,759079.7828064774186
1648252800,2022-03-26 00:00:00,ALBT/USDT,0.22976,0.23471,0.21,0.21815,1535576.03244778,341581.1281074727017
1648166400,2022-03-25 00:00:00,ALBT/USDT,0.2506,0.255,0.22976,0.22976,1492741.66631546,359137.6124572867375
1648080000,2022-03-24 00:00:00,ALBT/USDT,0.23929,0.25879,0.23774,0.2506,1430135.40445998,357121.1238913592733
1647993600,2022-03-23 00:00:00,ALBT/USDT,0.2336,0.24404,0.23,0.23985,770636.96089139,181159.4517796016549
1647907200,2022-03-22 00:00:00,ALBT/USDT,0.23,0.24175,0.23,0.2336,811672.64216548,191034.475159805018
1647820800,2022-03-21 00:00:00,ALBT/USDT,0.22689,0.233,0.223,0.23,634094.24522943,144431.3382442744968
1647734400,2022-03-20 00:00:00,ALBT/USDT,0.23164,0.23971,0.22525,0.22688,573307.61627096,133243.6674153678586
1647648000,2022-03-19 00:00:00,ALBT/USDT,0.22457,0.2409,0.22433,0.23272,724042.52332968,168526.3853945417399
1647561600,2022-03-18 00:00:00,ALBT/USDT,0.22411,0.22947,0.22223,0.22469,562189.18822417,125827.2517907539702
1647475200,2022-03-17 00:00:00,ALBT/USDT,0.22241,0.23663,0.22029,0.22411,687118.27834285,156560.3191973473207
1647388800,2022-03-16 00:00:00,ALBT/USDT,0.20563,0.22999,0.2028,0.22241,1164277.40680638,249165.5892786488526
1647302400,2022-03-15 00:00:00,ALBT/USDT,0.20866,0.21293,0.20058,0.20563,762641.79603665,157964.9855112823217
1647216000,2022-03-14 00:00:00,ALBT/USDT,0.20901,0.21758,0.20321,0.20877,645144.31911594,134669.5972321379008
1647129600,2022-03-13 00:00:00,ALBT/USDT,0.2078,0.2157,0.20701,0.20901,568801.42848134,118710.9875325635044
1647043200,2022-03-12 00:00:00,ALBT/USDT,0.2084,0.21974,0.20753,0.2078,814272.71282957,171442.7382474106621
1646956800,2022-03-11 00:00:00,ALBT/USDT,0.20842,0.22399,0.19545,0.2084,1698717.80649863,351018.0752581282721
1646870400,2022-03-10 00:00:00,ALBT/USDT,0.21685,0.21799,0.20501,0.20842,837272.18323793,175517.3493246099388
1646784000,2022-03-09 00:00:00,ALBT/USDT,0.21002,0.23535,0.20961,0.21685,1412068.79410253,311078.5300637379112
1646697600,2022-03-08 00:00:00,ALBT/USDT,0.21026,0.22251,0.19501,0.21046,1004645.52109302,214206.3518041670875
1646611200,2022-03-07 00:00:00,ALBT/USDT,0.22853,0.2337,0.2102,0.21109,1042498.19387413,228226.8649890193473
1646524800,2022-03-06 00:00:00,ALBT/USDT,0.24143,0.2438,0.2245,0.22974,1110634.29571809,260053.6855835940901
1646438400,2022-03-05 00:00:00,ALBT/USDT,0.23527,0.24364,0.23233,0.24123,554216.97682747,132314.2107555277748
1646352000,2022-03-04 00:00:00,ALBT/USDT,0.26254,0.26955,0.23222,0.236,1249486.35434297,313326.0694532831907
1646265600,2022-03-03 00:00:00,ALBT/USDT,0.27696,0.28035,0.26,0.26113,732051.0708628,196811.0880324923025
1646179200,2022-03-02 00:00:00,ALBT/USDT,0.2844,0.31,0.27266,0.27696,1127150.5203571,321047.384428141994
1646092800,2022-03-01 00:00:00,ALBT/USDT,0.27192,0.325,0.25673,0.2844,1373350.68432589,380796.3837413025061
1646006400,2022-02-28 00:00:00,ALBT/USDT,0.23114,0.2797,0.23,0.27062,1043447.92912596,269184.9422647325176
1645920000,2022-02-27 00:00:00,ALBT/USDT,0.24838,0.25889,0.2199,0.23,1170416.08953491,280209.5091292430154
1645833600,2022-02-26 00:00:00,ALBT/USDT,0.24,0.261,0.238,0.24745,733098.89449226,180310.0031765180676
1645747200,2022-02-25 00:00:00,ALBT/USDT,0.23448,0.25,0.225,0.24,587654.96837735,138931.6485245374054
1645660800,2022-02-24 00:00:00,ALBT/USDT,0.23547,0.24499,0.19656,0.23496,1773854.89068932,381151.1816323858166
1645574400,2022-02-23 00:00:00,ALBT/USDT,0.23491,0.26958,0.23342,0.23619,1797079.93194325,441521.3838409392829
1645488000,2022-02-22 00:00:00,ALBT/USDT,0.23186,0.2423,0.21787,0.236,1470844.56100477,337923.0725422834789
1645401600,2022-02-21 00:00:00,ALBT/USDT,0.25505,0.265,0.2301,0.23089,1215717.39751571,306655.2360025057651
1645315200,2022-02-20 00:00:00,ALBT/USDT,0.28882,0.28966,0.244,0.25505,1980087.40912359,513331.2527144428552
1645228800,2022-02-19 00:00:00,ALBT/USDT,0.29093,0.30408,0.27961,0.28883,1005458.32137613,292685.3733015726132
1645142400,2022-02-18 00:00:00,ALBT/USDT,0.31275,0.32719,0.288,0.2924,721368.41090606,223556.5160179395633
1645056000,2022-02-17 00:00:00,ALBT/USDT,0.33251,0.34199,0.31001,0.3126,755694.26210059,244622.7818922119926
1644969600,2022-02-16 00:00:00,ALBT/USDT,0.33602,0.35396,0.32355,0.33193,840332.20738804,280584.300107610597
1644883200,2022-02-15 00:00:00,ALBT/USDT,0.329,0.3519,0.32001,0.33602,1311196.39654534,441048.1951965363561
1644796800,2022-02-14 00:00:00,ALBT/USDT,0.33556,0.33704,0.31774,0.32976,506140.26071197,165103.1857809338763
1644710400,2022-02-13 00:00:00,ALBT/USDT,0.34344,0.36,0.33333,0.33646,479566.42150536,164584.6005163273176
1644624000,2022-02-12 00:00:00,ALBT/USDT,0.35239,0.36886,0.3401,0.34344,966724.74844376,342008.5449334406331
