https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USDT
1549800000,2019-02-10 12:00:00,LTC/USDT,44.256402,44.256405,43.404068,43.404068,2.058603,90.25403067
1549796400,2019-02-10 11:00:00,LTC/USDT,44.311656,44.311656,43.570996,43.570996,1.391144,60.74600059
1549792800,2019-02-10 10:00:00,LTC/USDT,43.485211,44.072801,43.485211,44.072801,3.524278,153.86584826
1549789200,2019-02-10 09:00:00,LTC/USDT,43.013921,43.013921,43.013921,43.013921,0.004778,0.20552051
1549785600,2019-02-10 08:00:00,LTC/USDT,43.16314,43.748712,43,43.748712,26.290225,1143.48635695
1549782000,2019-02-10 07:00:00,LTC/USDT,43.2,43.2,43.2,43.2,0.55,23.76
1549778400,2019-02-10 06:00:00,LTC/USDT,42.890899,43.266198,42.526493,42.854761,8.206417,353.63928745
1549774800,2019-02-10 05:00:00,LTC/USDT,43.530637,43.788924,43.173088,43.486022,5.693134,246.8152383
1549771200,2019-02-10 04:00:00,LTC/USDT,43.76995,43.964053,43.76995,43.964053,0.405277,17.73945525
1549767600,2019-02-10 03:00:00,LTC/USDT,43.718865,43.718865,43.411841,43.421778,16.205575,708.29880278
1549756800,2019-02-10 00:00:00,LTC/USDT,44.603184,44.603184,44.246765,44.246765,4.75201,211.79367145
1549753200,2019-02-09 23:00:00,LTC/USDT,44.784132,44.784132,44.251352,44.613236,2.669239,119.52069168
1549749600,2019-02-09 22:00:00,LTC/USDT,44.433335,44.433335,44.433335,44.433335,6.394968,284.14975546
1549746000,2019-02-09 21:00:00,LTC/USDT,44.046999,44.074547,44.046999,44.074547,3.454485,152.19963502
1549742400,2019-02-09 20:00:00,LTC/USDT,44.140759,44.140759,43.703722,43.736377,5.139064,224.96100171
1549738800,2019-02-09 19:00:00,LTC/USDT,43.345777,43.739667,43.345777,43.739667,3.127605,136.03027285
1549735200,2019-02-09 18:00:00,LTC/USDT,43.299992,43.345777,43.299992,43.345777,8.121974,351.8655421
1549731600,2019-02-09 17:00:00,LTC/USDT,43.043764,43.299992,42.844814,43.299992,12.488224,537.51933787
1549728000,2019-02-09 16:00:00,LTC/USDT,43.425837,43.651434,41.159843,43.021324,167.949186,7216.63330946
1549724400,2019-02-09 15:00:00,LTC/USDT,43.909174,43.919225,43.909174,43.91,4.137447,181.68498355
1549720800,2019-02-09 14:00:00,LTC/USDT,44.098231,45.2,44.098231,44.824341,6.369971,287.12061327
1549717200,2019-02-09 13:00:00,LTC/USDT,43.760007,44.683609,43.760007,44.187755,0.970344,42.83941448
1549713600,2019-02-09 12:00:00,LTC/USDT,45.015341,45.048182,43.916775,43.916775,4.837882,215.56716554
1549710000,2019-02-09 11:00:00,LTC/USDT,44.152769,44.581406,44.152769,44.581406,9.038549,401.78733501
1549706400,2019-02-09 10:00:00,LTC/USDT,45.146029,45.146029,44.523368,45.115856,116.729936,5265.22422267
1549702800,2019-02-09 09:00:00,LTC/USDT,43.98396,45.035446,43.939059,43.939059,3.299626,146.06995769
1549699200,2019-02-09 08:00:00,LTC/USDT,45.695387,46.15087,44.346926,44.774078,29.469898,1350.6167506
