https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume COMB,Volume USDT
1649030400,2022-04-04 00:00:00,COMB/USDT,0.001615,0.001672,0.001541,0.001595,347349195.18324544,559532.28130333786811
1648944000,2022-04-03 00:00:00,COMB/USDT,0.001581,0.001698,0.001533,0.001615,370443225.49112459,582127.19343753574995
1648857600,2022-04-02 00:00:00,COMB/USDT,0.001603,0.001647,0.001565,0.001582,374113591.74385386,601369.93421150898269
1648771200,2022-04-01 00:00:00,COMB/USDT,0.001602,0.001624,0.0015,0.001604,390764967.07228427,610040.25475350657128
1648684800,2022-03-31 00:00:00,COMB/USDT,0.00174,0.001761,0.001558,0.001598,369445279.60687579,619244.27980061100313
1648598400,2022-03-30 00:00:00,COMB/USDT,0.001621,0.002255,0.00157,0.00174,486323470.1746294,856298.35300818503276
1648512000,2022-03-29 00:00:00,COMB/USDT,0.001557,0.001645,0.001534,0.001622,343922101.25310175,544768.60628519422541
1648425600,2022-03-28 00:00:00,COMB/USDT,0.00156,0.001689,0.001513,0.001554,358616854.0070818,573625.63678053337951
1648339200,2022-03-27 00:00:00,COMB/USDT,0.001493,0.001576,0.001468,0.001561,425371885.3067892,636196.99870225070651
1648252800,2022-03-26 00:00:00,COMB/USDT,0.001485,0.001503,0.001482,0.001486,192001608.77275262,286762.88982103658832
1648166400,2022-03-25 00:00:00,COMB/USDT,0.00146,0.001541,0.001451,0.001483,364741576.68404245,545954.12321126774263
1648080000,2022-03-24 00:00:00,COMB/USDT,0.001456,0.001589,0.001456,0.001457,447979672.33642264,677548.54121120145003
1647993600,2022-03-23 00:00:00,COMB/USDT,0.001514,0.001522,0.001437,0.001458,452645691.33167536,671304.54790816532808
1647907200,2022-03-22 00:00:00,COMB/USDT,0.001565,0.001616,0.001502,0.001514,316686633.76644324,493221.20552480630437
1647820800,2022-03-21 00:00:00,COMB/USDT,0.001468,0.00195,0.001431,0.001565,339504023.28969285,515680.14544817976742
1647734400,2022-03-20 00:00:00,COMB/USDT,0.001474,0.001496,0.001431,0.001468,431044863.87778339,632724.32711554621672
1647648000,2022-03-19 00:00:00,COMB/USDT,0.00156,0.001637,0.001462,0.001479,425668590.34273197,651826.84206900088648
1647561600,2022-03-18 00:00:00,COMB/USDT,0.001494,0.001562,0.001399,0.001555,357886987.35520368,535168.24189945320084
1647475200,2022-03-17 00:00:00,COMB/USDT,0.001428,0.001537,0.001393,0.001495,392893205.98060084,563336.17319086224387
1647388800,2022-03-16 00:00:00,COMB/USDT,0.001446,0.001544,0.001377,0.001426,218352876.43573627,313894.71007770613879
1647302400,2022-03-15 00:00:00,COMB/USDT,0.001403,0.001502,0.001385,0.001445,402831024.09092156,571726.89031288809832
1647216000,2022-03-14 00:00:00,COMB/USDT,0.001389,0.001428,0.001351,0.001403,516811857.65663082,718443.48309610878605
1647129600,2022-03-13 00:00:00,COMB/USDT,0.001491,0.001491,0.001377,0.001387,405068784.39774003,580680.75699091762142
1647043200,2022-03-12 00:00:00,COMB/USDT,0.001405,0.001492,0.001366,0.001492,418613357.7833,582532.3429439375
1646956800,2022-03-11 00:00:00,COMB/USDT,0.001435,0.001437,0.00135,0.001405,348564421.54207446,486731.6874501031656
1646870400,2022-03-10 00:00:00,COMB/USDT,0.001457,0.001457,0.001381,0.001431,402512236.72321861,572738.95784808707639
1646784000,2022-03-09 00:00:00,COMB/USDT,0.001499,0.001518,0.001409,0.001453,405491555.23859605,599062.16540021684714
1646697600,2022-03-08 00:00:00,COMB/USDT,0.001458,0.0015,0.001369,0.001497,307481369.54189044,436081.67160646783038
1646611200,2022-03-07 00:00:00,COMB/USDT,0.001547,0.001596,0.001446,0.001459,346373309.25404689,513855.23123089940875
1646524800,2022-03-06 00:00:00,COMB/USDT,0.001453,0.00205,0.001424,0.001543,418737148.52125304,623202.15776865042909
